,Unnamed: 0,FoodID,NutrientID,NutrientValue,NutrientCode,NutrientSymbol,NutrientUnit,NutrientName,Tagname,need,NutrientGroup,dv
13827,13827,183,303,19.1,303.0,FE,mg,IRON,FE,8.0,3.0,2.3875
13828,13828,183,304,255.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,0.7083333333333334
13833,13833,183,312,1.2,312.0,CU,mg,COPPER,CU,0.9,3.0,1.3333333333333333
13834,13834,183,315,8.3,315.0,MN,mg,MANGANESE,MN,3.0,3.0,2.766666666666667
13835,13835,183,317,40.3,317.0,SE,µg,SELENIUM,SE,55.0,3.0,0.7327272727272727
13850,13850,183,430,99.8,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,0.8316666666666667
13930,13930,184,208,305.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,152.5
13936,13936,184,291,21.1,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,0.7033333333333334
13937,13937,184,301,1516.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.516
13938,13938,184,303,16.33,303.0,FE,mg,IRON,FE,8.0,3.0,2.04125
13939,13939,184,304,256.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,0.7111111111111111
13943,13943,184,309,5.2,309.0,ZN,mg,ZINC,ZN,9.0,3.0,0.5777777777777778
13944,13944,184,312,0.78,312.0,CU,mg,COPPER,CU,0.9,3.0,0.8666666666666667
13945,13945,184,315,1.833,315.0,MN,mg,MANGANESE,MN,3.0,3.0,0.611
14007,14007,185,208,253.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,126.5
14014,14014,185,301,1784.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.784
14015,14015,185,303,48.78,303.0,FE,mg,IRON,FE,8.0,3.0,6.0975
14016,14016,185,304,451.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,1.2527777777777778
14018,14018,185,306,3308.0,306.0,K,mg,POTASSIUM,K,4700.0,3.0,0.7038297872340425
14022,14022,185,315,3.95,315.0,MN,mg,MANGANESE,MN,3.0,3.0,1.3166666666666669
14027,14027,185,401,50.0,401.0,VITC,mg,VITAMIN C,VITC,90.0,1.0,0.5555555555555556
14032,14032,185,415,1.71,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,1.3153846153846154
14051,14051,186,208,345.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,172.5
